DBA,Business type,Bus address,Start date,Close date,License description,Rate type (STD),closure_time,censor,type,longitude,latitude
Lisa Taylor,Personal Services,560 HIGUERA ST F,9/30/2005,8/1/2007,,Downtown Association,7461,1,Downtown Association,-120.666578,35.27769432
Lisa Tupetz Wine,Retail,3059 GARIBALDI AVE,8/25/2021,10/14/2025,Online Sales of Imported Wines and Distribution,General Retailer,1653,1,Retail,-120.6493399,35.26189289
Lisa Yukleson,Rental- Residential,113 S TASSAJARA DR,4/12/2001,7/1/2016,,Residential Rental,9093,1,Rental,-120.6780875,35.29114278
Lisa's Treasure Chest,Home Occupation,169 CRAIG WAY,5/13/2015,10/26/2016,Handmade Jewelry Sales,General Retailer,3949,1,Retail,-120.684392,35.29620086
Lisette Carolina Ramirez,Beauty Salon,578 MARSH ST,10/3/2008,8/25/2010,Esthetician,Downtown Association,6362,1,Downtown Association,-120.6653568,35.27723291
Lithopoulos Family Trust,Rental- Residential,1717 WILSON ST,9/8/2010,3/14/2014,,Residential Rental,5657,1,Rental,-120.654203,35.29088007
"Litigation Services&Technologies of California,LLC",Business/ Services/ Professions,3220 S HIGUERA ST STE 323,12/20/2021,10/31/2023,Court Reporting Agency,General Service,1536,1,Service,-120.6687225,35.25665878
Little Belly L.P.,Home Occupation,1179 LAUREL LN,10/31/2014,10/4/2016,Selling Crepes At Farmer's Market,General Service,4143,1,Service,-120.6415348,35.26392685
Little Elements,Home Occupation,855 NIPOMO ST UNIT D,1/12/2011,7/26/2011,Interior Design & Decorating,General Service,5531,1,Service,-120.667438,35.28001105
Little Laura Lou,Retail,1130 MORRO ST,6/23/2006,12/20/2008,,Downtown Association,7195,1,Downtown Association,-120.6613886,35.28035318
Littlefeet Direct,Retail,319 JUNIPERO WAY,4/4/2020,6/30/2022,Online Merchandise,General Retailer,2161,1,Retail,-120.6639435,35.25474201
Littlelolared.Com,Home Occupation,1353 PISMO ST,9/15/2010,5/1/2011,Graphic Design,General Service,5650,1,Service,-120.6536603,35.28191556
"Liv Home, Inc.",Medical Services,1402 MARSH ST,6/1/2006,9/1/2024,Medical Services,General Service,7217,1,Service,-120.6543395,35.28410402
Live And Learn Society,Professional,11549 LOS OSOS VALLEY RD STE 106,7/8/2019,11/15/2019,Social Science Research & Consulting For Health Systems,Professional Service,2432,1,Service,-120.6912941,35.2570994
Live Local Apparel,Home Occupation,2136 STORY ST,1/10/2012,9/19/2018,Screenprinting T-Shirts Online And Wholesale,General Manufacturer,5168,1,Other,-120.6586979,35.27081407
Live N Learn With Humor,Education/School,222 ELKS LN,3/18/2006,11/26/2007,,Professional Service,7292,1,Service,-120.6720665,35.26129304
Live Oak Infrastructure,Contractor- Specialty,3450 BROAD ST SGTE 103B,10/28/2019,12/31/2024,Provide 24/7 Support to All Utilities Infrastructure & Boring,Contractor,2320,1,Service,-120.6471832,35.25684731
Live Oak Landscapes,Gardening,843 VIA ESTEBAN 1,2/3/1986,6/16/2008,,Contractor,14640,1,Service,-120.6443796,35.25868897
Live Wire Systems/Friendly Recycling LLC,Home Occupation,1428 JOHNSON AVE,8/31/2011,10/15/2013,Consulting For Auto & Metal Recycling,Professional Service,5300,1,Service,-120.6541198,35.28130102
Living Abuindant Group LLC,Administration/Office,2801 JOHNSON AVE 6,9/30/2022,6/1/2024,Other services,Professional Service,1252,1,Service,-120.6421571,35.2695822
Liz Grom / Hal Dixon,Rental- Commercial,810 ORCUTT RD,6/10/1992,11/1/2018,,Commercial Rental Property,12321,1,Rental,-120.6479419,35.26140584
Liz Lee Sportswear,Apparel/Accessories,1003 GOLDENROD LN,10/30/2003,12/31/2010,,General Wholesaler,8162,1,Other,-120.6342935,35.24355563
Liz Petersen Design Studio,Artist/Art Dealer/Sales/Gallery,846 HIGUERA ST STE I,1/4/2010,10/30/2010,"Artist Studio, Designing Women's Fashions For Wholesale",Downtown Association,5904,1,Downtown Association,-120.6623436,35.2802472
Liz Verdeja,Home Occupation,311 MARGARITA AVE,10/20/2011,1/31/2012,Antiques Sales - Wholesale,General Wholesaler,5250,1,Other,-120.664554,35.25645726
"LL Flooring, Inc.",Retail,170 SUBURBAN RD STE 130,12/29/2009,1/1/2025,Hardwood Flooring Retail,General Retailer,5910,1,Retail,-120.6703016,35.24407232
Lloyd E Somogyi,Rental- Residential,1044 PEACH ST,3/19/1992,7/31/2006,,Residential Rental,12404,1,Rental,-120.6629234,35.28470095
Lloyd E Somogyi,Legal Services,1080 PEACH ST,7/1/1982,12/17/2009,,Professional Service,15953,1,Service,-120.6624496,35.28498059
Lloyd Pierce,Rental- Residential,1334 WOODSIDE DR,9/13/2010,9/1/2012,,Residential Rental,5652,1,Rental,-120.6397399,35.26426667
Lloyd Schoen Trust,Rental- Residential,976 VISTA DEL BRISA,8/30/2010,9/14/2011,,Residential Rental,5666,1,Rental,-120.6996189,35.2653897
"LoanDepot.Com, LLC",Financial Institution,3220 S HIGUERA ST STE 103A,9/15/2010,2/28/2017,Retail Mortgage Banking Office,Professional Service,5650,1,Service,-120.6687225,35.25665878
Loba Muay Thai,Recreation-Instruction/Training,1237 ARCHER ST,10/19/2022,10/8/2025,"Arts, Entertainment, or Recreation",General Retailer,1233,1,Retail,-120.6688698,35.2746085
Lober Engineering,Home Occupation,1070 CAPISTRANO CT,3/3/1993,11/19/2018,Engineering Services,General Wholesaler,12055,1,Other,-120.7028853,35.26140259
Local Designs,Home Occupation,331 KENTUCKY ST APT C,10/15/2019,6/12/2022,Digital and Print Design Services,Professional Service,2333,1,Service,-120.6592729,35.29377076
Local Landscapes,Home Occupation,1757 SINGLETREE CT,5/2/2022,7/1/2023,Landscape Maintenance,General Service,1403,1,Service,-120.6916473,35.25376105
Locals Living Well,General Merchandise,4750 ALLENE WAY,3/1/2023,1/17/2024,,General Retailer,1100,1,Retail,-120.6333911,35.23822848
Locals Own,Delivery Services,872 HIGUERA ST,2/12/2018,5/23/2019,Grocery Delivery Service From Farmers Market To Homes,Downtown Association,2943,1,Downtown Association,-120.6620575,35.28041566
Lockheed Martin Unmanned Integrated Systems,Engineer,125 VENTURE DR STE 110,12/14/2005,7/12/2018,Engineering,General Manufacturer,7386,1,Other,-120.6752474,35.23926263
Locutour Multimedia,Education/School,1130 GROVE ST STE 106,9/23/1994,12/31/2018,Software Development,General Service,11486,1,Service,-120.6526673,35.28601846
Lodestar Publications,Retail,2548 SANTA CLARA ST,10/21/1991,7/20/2006,,General Retailer,12554,1,Retail,-120.6478374,35.26900068
Loeza Diaz Landscape,Home Occupation,1112 ORCUTT RD APT B,7/10/2008,8/17/2009,,General Service,6447,1,Service,-120.641601,35.26144046
Lofstrom Law Corporation,Legal Services,926 LOBELIA LN,7/20/1992,3/29/2024,Legal Services,Professional Service,12281,1,Service,-120.6388533,35.25104044
Logic Plus,Misc Business Services,1343 PISMO ST STE B,2/11/2009,2/11/2011,,General Service,6231,1,Service,-120.6537838,35.2818321
Logic Plus Solutions Inc,"Computers, Sales & Service",1125-B GARDEN ST,6/11/1999,6/12/2007,,Downtown Association,9764,1,Downtown Association,-120.6635561,35.2793841
Logos Broadcasting Corp.,Miscellaneous Business,560 HIGUERA ST STE G,12/2/2009,8/19/2016,Radio Station,Downtown Association,5937,1,Downtown Association,-120.666578,35.27769432
Logos Ink,Retail,251 HIGH ST 4,10/21/2002,1/8/2007,,General Wholesaler,8536,1,Other,-120.6667779,35.27212587
Lois Panziera,Rental- Residential,1525 GULF ST,6/11/1992,6/30/2018,Rental Home,Residential Rental,12320,1,Rental,-120.6864492,35.26120473
Lois V Lucian,Rental- Residential,1360 PEACH ST,12/28/2000,11/1/2006,,Residential Rental,9198,1,Rental,-120.6581227,35.28686189
"Lojo Enterprises, L L C",Misc Business Services,1075 COURT ST STE 209,6/3/2010,12/31/2012,Online Web Application~Creating Digital Content,General Service,5754,1,Service,-120.6614689,35.28107621
"Lola Red Design Group, Inc.",Designer/Illustrator/Decorator,3485 SACRAMENTO DR STE F,8/24/2011,2/28/2021,"Print Broker, Graphic Design & Lettering Installation",General Service,5307,1,Service,-120.6447471,35.25720812
Loma Alta Holdings,Rental- Residential,474 WOODBRIDGE ST,9/21/2010,6/30/2012,Residential Rental Property,Residential Rental,5644,1,Rental,-120.6593876,35.26638909
Lomeli Law,Home Occupation,1141 PACIFIC ST STE F,7/14/2020,6/30/2023,Family and Estate Law,Professional Service,2060,1,Service,-120.6575927,35.28067308
Long Riders Gear,Retail,3576 EMPLEO ST STE 1,5/9/2011,4/18/2012,E-Commerce Retail Sales,General Retailer,5414,1,Retail,-120.6687165,35.25151566
Long Street Farm L L C,Rental- Residential,3897 S HIGUERA ST,8/30/2010,10/2/2012,,Residential Rental,5666,1,Rental,-120.6735135,35.2469019
"Longevity Healthcare Center, Inc",Medical Services,1405 GARDEN ST,2/9/2005,2/19/2013,,Professional Service,7694,1,Service,-120.6614702,35.27706095
"Longevity Healthcare Center, Inc.",Medical Services,3220 S HIGUERA ST STE 308,12/26/2013,6/30/2015,"Alternative, Holistic, Integrative, Functional Medicine",General Service,4452,1,Service,-120.6687225,35.25665878
Longview Photography,Home Occupation,311 LONGVIEW LN APT C,5/27/2010,5/1/2011,Photography Service Events & Portraits,Professional Service,5761,1,Service,-120.6581445,35.29401454
Looking Glass Photography,Photographic Studio/Portrait,1977 SANTA BARBARA AVE #101,7/22/2013,11/13/2015,,Professional Service,4609,1,Service,-120.6562263,35.27271603
"Lookout Investigations, Inc",Personal Services,1009 MORRO ST STE 207,6/17/2010,11/4/2013,Private Investigator,Downtown Association,5740,1,Downtown Association,-120.6621901,35.28107198
Lopez Care Management,Home Occupation,1147 PISMO ST STE B,1/14/2014,12/31/2016,Individual services,General Service,4433,1,Service,-120.6564535,35.28012159
"Lora L. Shoffstall, RPR, CSR #9271",Home Occupation,2860 VICTORIA AVE,1/13/2020,11/1/2024,Court Reporting Services,Professional Service,2243,1,Service,-120.6506224,35.26446553
Lora Spencer,Massage,1868 CORRALITOS AVE,4/5/2007,6/17/2010,,Massage Therapist,6909,1,Service,-120.648181,35.28788243
Loragen Corp,Consultant,3576 EMPLEO ST STE 1,8/3/1998,7/19/2007,,General Service,10076,1,Service,-120.6687165,35.25151566
Loretta Heckman,Rental- Residential,2220 EXPOSITION DR UNIT 102,7/2/1992,6/30/2014,,Residential Rental,12299,1,Rental,-120.6645379,35.26883196
"Loretta Ramseyer, Attorney At Law",Home Occupation,543 STONERIDGE DR,6/11/2015,5/29/2018,Pro Bono Legal Services,Professional Service,3920,1,Service,-120.6552855,35.26318843
Lori-For The Home,Home Occupation,981 AMBROSIA LN,7/21/1999,11/17/2014,,General Service,9724,1,Service,-120.6374235,35.24449031
Lorie P Brallier,Rental- Residential,263 CERRO ROMAULDO AVE,9/1/2010,7/11/2011,,Residential Rental,5664,1,Rental,-120.6813956,35.29513281
Lorily Grefalda,Beauty Salon,894 MONTEREY ST,5/14/2007,7/1/2010,"Hair Color, Cuts, Perms & Styling",Downtown Association,6870,1,Downtown Association,-120.6624226,35.28120456
Lorna Conas,Rental- Residential,601 SWEENEY LN #A & B,8/12/2010,3/21/2016,Residential Property Rental,Residential Rental,5684,1,Rental,-120.6523289,35.2616087
Lorna Dufresne Turnier,,244 LINCOLN ST,12/1/2003,11/1/2011,,Professional Service,8130,1,Service,-120.6670029,35.28828619
Lorraine Bailey,Rental- Residential,1241 SOUTHWOOD DR,4/18/2001,6/19/2013,,Residential Rental,9087,1,Rental,-120.6394874,35.26484486
Lorraine Bailey Interior Dsgn,Home Occupation,2384 LAWTON AVE,9/15/1988,6/30/2011,,Professional Service,13685,1,Service,-120.6568519,35.26749799
Lorraine Maksoudian,Photographic Studio/Portrait,622 COUPER DR,10/25/1985,6/28/2007,,General Service,14741,1,Service,-120.6773244,35.30026723
Lorri Nelson Massage & Bodywork,Massage,1238 MONTEREY ST STE 110,2/13/2017,6/30/2017,Massage Therapy & Bodywork,Massage Therapist,3307,1,Service,-120.6580653,35.28378603
Los Alamos Ct Statutory Trust,Rental- Residential,2869 LOS ALAMOS CT,6/1/2023,3/20/2025,Rental - Residential,Residential Rental,1008,1,Rental,-120.6669951,35.26110899
Los Osos Valley Associates,Rental- Commercial,12300 LOS OSOS VALLEY RD,5/8/1992,1/10/2024,,Commercial Rental Property,12354,1,Rental,-120.6839242,35.24835297
Los Tamales Poblanos,Food Store,4750 ALLENE WAY,3/19/2024,10/8/2025,,General Retailer,716,1,Retail,-120.6333911,35.23822848
"Lotus Asia's Best, LLC",Restaurant,1819 OSOS ST,5/12/2011,5/31/2015,Restaurant Serving Vietnamese Cuisine & Mongolian BBQ,General Retailer,5411,1,Retail,-120.655896,35.27561313
"Lotus Best, LLC",Restaurant,746 HIGUERA ST #6,6/8/2015,3/15/2022,Mongolian Bbq & Vietnamese Cuisine,Downtown Association,3923,1,Downtown Association,-120.663833,35.27935993
Louis Basile,Rental- Residential,441 LUNETA DR,9/16/2010,5/22/2017,,Residential Rental,5649,1,Rental,-120.6773604,35.29125086
Louis D & Elaine Dutra,Rental- Residential,382 HIGHLAND DR,12/21/2000,7/23/2009,,Residential Rental,9205,1,Rental,-120.6788039,35.298466
"Louisa Troemel, Inc",Professional,1129 MARSH ST STE A,2/16/2012,6/12/2013,Psychologist And Licensed Marriage Family Therapist,Professional Service,5131,1,Service,-120.658175,35.28142831
Louise Carlson,Recreational Services,1880 SANTA BARBARA AVE STE A4,2/27/1998,8/21/2006,,General Service,10233,1,Service,-120.6561222,35.2746548
Louise K Benner,Rental- Residential,1875 FIXLINI ST,12/18/2000,7/27/2006,,Residential Rental,9208,1,Rental,-120.6490251,35.27892195
Lousen Living Trust,Rental- Residential,11295 LOS OSOS VALLEY RD,9/2/2010,3/5/2021,Residential Condo,Residential Rental,5663,1,Rental,-120.6944039,35.26005705
Love + Luck,Home Occupation,1970 ESTRELLA CT,9/11/2023,1/24/2024,,General Retailer,906,1,Retail,-120.7047385,35.26024966
Love 2 Learn,Home Occupation,1739 FREDERICKS ST,4/14/2015,9/21/2016,In Home Day Care,General Service,3978,1,Service,-120.6539838,35.29302037
Love Your Canine,Misc Business Services,1774 TONINI DR 10,8/1/2006,6/20/2008,Basic Dog Obedience Class,General Service,7156,1,Service,-120.6910172,35.25443437
Loveridge Photography,Home Occupation,1352 PARTNER RD STE 1,1/8/2013,1/17/2017,Lifestyle Photography,Professional Service,4804,1,Service,-120.7190743,35.28740818
Loveshine Massage,Massage,1190 MARSH ST STE A,9/22/2009,3/1/2011,Sweedish Massage,Massage Therapist,6008,1,Service,-120.6573565,35.28206906
Low Complexity Electronics,Home Occupation,2056 SIERRA WAY,6/13/2018,10/31/2019,Electronics Brokering Of Goods/Services,General Wholesaler,2822,1,Other,-120.6491053,35.27550363
Lowe Investments,Rental- Residential,647 CUESTA DR,3/5/2015,3/21/2016,Residential Rental,Residential Rental,4018,1,Rental,-120.6781451,35.30079866
LR Specialty Services LLC,Advertising,4800 MORABITO PL,1/1/2022,10/1/2022,Advertising Services,General Service,1524,1,Service,-120.6318481,35.23731995
Lua's Magic Touch Mobile Car Wash,Car Wash,2240 BIDDLE RANCH RD,2/14/2012,8/31/2012,Mobile Car Wash,General Service,5133,1,Service,-120.6117917,35.21638349
Lube-N-Go,Auto Mechanic/Detailer/Services,286 HIGUERA ST,7/22/2013,1/17/2025,Automotive Maintenance/Quick Lube,General Retailer,4609,1,Retail,-120.6697853,35.27252835
Luca's Luxury Limousine,Home Occupation,1260 SOUTHWOOD DR APT D,11/7/2019,1/1/2024,"Pick up clients for wine tours, birthday parties, weddings & business events",General Service,2310,1,Service,-120.639321,35.26495946
Lucas Danner,Home Occupation,2065 PRICE ST,11/2/2016,6/1/2017,"Web Design, Digital Marketing & S.E.O. Consulting",General Service,3410,1,Service,-120.6647675,35.27155417
Luchetta Law PC,Legal Services,755 SANTA ROSA STE 300,11/1/2024,4/24/2025,,Professional Service,489,1,Service,-120.6617836,35.28463691
Lucia Apothecary,Manufacturing,710 RANCHO DR,6/7/2006,6/14/2007,,General Manufacturer,7211,1,Other,-120.683564,35.30296524
Lucid Logistics,Misc Business Services,656 SANTA ROSA ST STE 2A,12/12/2012,6/30/2016,GPS/Satellite Tracking Devices & Web User Interface,General Service,4831,1,Service,-120.6623681,35.28549069
Lucky Lulus,Apparel/Accessories,691 HIGUERA ST,5/21/2003,11/14/2016,,Downtown Association,8324,1,Downtown Association,-120.6645902,35.27876158
Lucky Pools,Home Occupation,1807 ABBOTT ST #28,5/2/2022,7/1/2024,Swimming Pool Services,General Service,1403,1,Service,-120.6530288,35.29138391
Lucky Spur Guitars,Home Occupation,344 CALLE LUPITA,10/15/2014,1/20/2016,Guitar Repair And Customizing,General Retailer,4159,1,Retail,-120.6635841,35.25738367
Luddington Rental Property,Rental- Residential,408 WOODBRIDGE ST,8/26/2011,3/31/2013,Residential Rental Property,Residential Rental,5305,1,Rental,-120.6617521,35.265838
Ludmila Holdren,Massage,560 HIGUERA ST STE F,5/3/2006,11/15/2012,Massage Therapist,Downtown Association,7246,1,Downtown Association,-120.666578,35.27769432
Luis Felipe Gomez,Rental- Residential,284 E FOOTHILL BLVD,9/10/2010,8/20/2017,,Residential Rental,5655,1,Rental,-120.6807326,35.29420046
Luis Rodriguez Upholstery Works,Manufacturing,225 SUBURBAN RD,9/26/2012,12/26/2012,Upholstery For Furniture And Automotive,General Manufacturer,4908,1,Other,-120.6690411,35.24396409
Luis Wine Bar,Retail,1021 HIGUERA ST,3/8/2012,12/31/2020,Wine And Craft Beer Bar,Downtown Association,5110,1,Downtown Association,-120.6603108,35.28130555
Lukiluma,Still Picture Photographer,11357 LOS OSOS VALLEY RD STE F,2/27/2017,4/28/2017,"Creative Services (Photography & Design), Online E-Commerce",General Service,3293,1,Service,-120.6932332,35.2590622
Lularoe Erin Moran,Home Occupation,2975 ROCKVIEW PL #1,8/22/2016,1/23/2017,Independent Fashion Consultant,General Retailer,3482,1,Retail,-120.6526585,35.26182067
Lularoe Independent Consultant,Home Occupation,2073 KING ST,6/14/2016,5/30/2017,Independent Fashion Consultant For Lularoe,General Retailer,3551,1,Retail,-120.6624545,35.27148271
Lularoe Kelley Abbas,Home Occupation,353 SAGE ST,10/15/2015,6/30/2017,Retail Clothing,General Retailer,3794,1,Retail,-120.6627533,35.25544887
Lularoe Rhonda Marie,Home Occupation,1736 FARRIER CT,6/12/2015,9/22/2016,Fashion Consultant/Parties and At Homes,General Retailer,3919,1,Retail,-120.6924952,35.25360262
Lularoe Shannon Whisenand,Home Occupation,888 EL CAPITAN WAY,6/1/2015,6/30/2017,Hosting Parties & Selling Clothing,General Retailer,3930,1,Retail,-120.6410294,35.24700077
"Lululemon USA, Inc.",Retail,770 HIGUERA ST,6/9/2014,4/1/2015,Retail Of Athletic Apparel & Accessories,Downtown Association,4287,1,Downtown Association,-120.663401,35.27961918
Luna Bella Naturals,Personal Services,2078 PARKER ST 200,12/8/2005,6/1/2010,,General Service,7392,1,Service,-120.6691949,35.27110686
Luna Executive Services,Home Occupation,322 SAGE ST,1/6/2021,12/1/2021,Administrative & Home Office Management,General Service,1884,1,Service,-120.6638411,35.2555664
Luna Fish Creations,Home Occupation,820 BAY LEAF DR,12/14/2021,2/7/2023,"Handmade Cutting Boards, Soy Candles, Succulent Arrangements",General Retailer,1542,1,Retail,-120.6456443,35.26048927
Luna Rustica,Retail,895 MONTEREY ST,7/5/2011,4/15/2013,Furniture Store,Downtown Association,5357,1,Downtown Association,-120.662324,35.28112147
"Luna Rustica, Inc.",Retail,1127 BROAD ST,11/15/1996,7/23/2008,,Downtown Association,10702,1,Downtown Association,-120.6642045,35.27848989
Lunalily Photography,Home Occupation,2974 ROCKVIEW PL,11/9/2009,12/31/2018,Professional Photography Services At Events And Weddings,General Service,5960,1,Service,-120.652552,35.2618977
Lunny House Rental,Rental- Residential,1711 SAN LUIS DR,10/6/2010,12/31/2011,,Residential Rental,5629,1,Rental,-120.6507051,35.28628734
Lupe Garay,Rental- Residential,2089 WARD ST,6/4/2012,6/14/2013,Residential Rental Property,Residential Rental,5022,1,Rental,-120.6600425,35.27133978
Lury Norris,Counseling,11549 LOS OSOS VALLEY RD 109,2/23/2007,11/23/2009,,General Service,6950,1,Service,-120.6912941,35.2570994
Luther Ross Johnson,Beauty Salon,1998 SANTA BARBARA AVE,3/5/1993,7/30/2012,,General Service,12053,1,Service,-120.6560936,35.27223505
Luthra Rentals,Rental- Residential,1654 FAIRVIEW ST,9/2/2010,6/30/2011,,Residential Rental,5663,1,Rental,-120.6523289,35.27939648
Luvd,Retail,3591 SACRAMENTO DR STE 104,7/22/2013,6/30/2018,Retail & Wholesale Clothing Sales,General Retailer,4609,1,Retail,-120.6420819,35.25520618
Luxury Auto Broker SLO,,2880 BROAD ST,1/6/2004,2/1/2011,,General Wholesaler,8094,1,Other,-120.6515471,35.2635088
Luxury Life Limo Services,Home Occupation,2115 BROAD ST STE A,3/10/2009,6/30/2017,"Limo Service, Wine Tasting, Weddings, And Other Special Occation",General Service,6204,1,Service,-120.6574954,35.27089847
"LVL Sunset, LLC",Advertising,4800 MORABITO PL,1/1/2022,5/6/2022,Advertising Services,General Service,1524,1,Service,-120.6318481,35.23731995
Ly-Lan Marie Vo Lofgren,Home Occupation,2852 LOS FELIZ CT,7/3/2007,8/1/2020,Psychotherapy & Consulting,General Service,6820,1,Service,-120.6660172,35.26096767
Lynda & Bob Sayre,Rental- Residential,1143 FERNWOOD DR,9/14/2010,9/3/2024,Rental Property,Residential Rental,5651,1,Rental,-120.6401574,35.26187365
Lynda M Diaz,Rental- Residential,1547 PHILLIPS LN,8/30/2006,10/1/2023,,Residential Rental,7127,1,Rental,-120.6559863,35.28865894
Lynda S Grant Dc,Medical Services,1500 PALM ST A,10/27/2005,7/20/2006,,Professional Service,7434,1,Service,-120.6551728,35.28684313
Lynda Shirar,Rental- Residential,2250 KING CT #25,9/3/2010,3/31/2017,,Residential Rental,5662,1,Rental,-120.6620981,35.26809576
Lynee Travalini,Beauty Salon,894 MONTEREY ST,3/8/2006,7/28/2010,,Downtown Association,7302,1,Downtown Association,-120.6624226,35.28120456
Lynee' Traveline,Beauty Salon,774 MARSH ST STE 150,5/2/2017,11/24/2020,Stylist,Downtown Association,3229,1,Downtown Association,-120.6625429,35.27892983
Lynn & Judy Thomas,Rental- Residential,1238 CORAL ST,4/26/2010,6/30/2024,Residential Rental Property,Residential Rental,5792,1,Rental,-120.6885967,35.25928201
Lynn Fitzpatrick,Rental- Residential,1185 E FOOTHILL BLVD APT 16,9/22/2010,7/31/2012,Residential Rental Property,Residential Rental,5643,1,Rental,-120.6642887,35.29476518
Lynn Sayre-Carstairs,Rental- Residential,3226 VIA ENSENADA,8/30/2010,7/1/2018,,Residential Rental,5666,1,Rental,-120.6673139,35.25618139
Lynn Swanson MFT,Counseling,1026 PALM ST STE 214,10/1/1995,5/19/2022,Psychotherapy,Downtown Association,11113,1,Downtown Association,-120.6617475,35.28295189
Lynne Launius,Misc Business Services,1721 GATHE DR,8/4/2003,6/13/2008,,General Service,8249,1,Service,-120.6996472,35.25906129
Lyz V. Photography,Home Occupation,1774 TONINI DR #2,9/21/2016,4/12/2018,"Wedding,Family & Art Photography - Off Site",General Service,3452,1,Service,-120.6910172,35.25443437
Lz Design,,2644 FLORA ST,10/2/1992,6/11/2009,,General Wholesaler,12207,1,Other,-120.640783,35.27119898
M & J Construction,Contractor- General,2220 OLD STAGECOACH RD,7/2/2003,2/14/2011,,Contractor,8282,1,Service,-120.621231,35.3172872
M & M Cleaning Services,Maintenance,650 TANK FARM RD 27,9/7/2005,7/12/2006,,General Service,7484,1,Service,-120.6471081,35.24688746
M B W Advertising/Design,Advertising,123 FEL MAR DR,11/4/1985,4/1/2010,,General Service,14731,1,Service,-120.686319,35.29900667
M F & D M Quezada,Rental- Residential,668 PATRICIA DR,2/15/2001,7/3/2011,,Residential Rental,9149,1,Rental,-120.6838021,35.30165403
M International Music And Arts,Home Occupation,3591 SACRAMENTO DR #28,1/4/2008,10/4/2011,Private Music Lessons,General Service,6635,1,Service,-120.6420819,35.25520618
M J B Designs,Home Occupation,871 MURRAY AVE,8/17/2006,6/16/2008,Interior Design - Sale Of Furnishings & Finishes,General Service,7140,1,Service,-120.667781,35.29076486
M Johnson Design,Misc Business Services,1610 HUCKLEBERRY LN,3/2/2004,7/9/2007,,General Service,8038,1,Service,-120.622072,35.24915353
M K R Events,Personal Services,15 VISTA LN,12/28/2017,9/11/2019,Partial Or Full Service Wedding Coordination,General Service,2989,1,Service,-120.6792867,35.24076328
M L Construction,Home Occupation,1709 LIMA DR,4/8/2015,6/25/2019,Residential Remodel And Handyman Home Improvements,Contractor,3984,1,Service,-120.6863698,35.25684182
M R E Medical Infusion Inc,Medical Services,1551 BISHOP ST 230,2/27/2007,12/31/2009,Medical Infusion Services,General Service,6946,1,Service,-120.6460426,35.27434242
M Spisak + Son,,4435 SPANISH OAKS DR,5/11/2004,2/12/2007,,General Service,7968,1,Service,-120.6242172,35.24895493
"M Squared, L L C",Rental- Residential,1433 HIGUERA ST,9/10/2010,6/26/2015,Residential Rental Property,Residential Rental,5655,1,Rental,-120.654546,35.2848818
M T E Geospatial,Home Occupation,203 CHORRO ST STE B,10/29/2018,6/30/2019,"Geospatial Analysis, Data Mgmt, Cartographic Services",Professional Service,2684,1,Service,-120.6693514,35.2886665
M W McFall,Contractor- General,1372 DIABLO DR,4/10/2003,8/24/2006,,Contractor,8365,1,Service,-120.7016198,35.26784413
M&G Investments LLC,Rental- Residential,677 CAUDILL ST,3/9/2018,2/7/2025,Residential Rental Business,Residential Rental,2918,1,Rental,-120.6545586,35.26632987
M. A. C. Cosmetic Inc.,Retail,874 MONTEREY ST STE C102,11/17/2016,1/23/2021,Retail Cosmetics & Cosmetic Related Products And Services,Downtown Association,3395,1,Downtown Association,-120.6627988,35.28097966
M.Richert Counseling,Counseling,867 PACIFIC ST STE 220,2/1/2020,2/1/2021,Counseling services for individuals and couples,Downtown Association,2224,1,Downtown Association,-120.6606997,35.2787961
M.S. Friedlander Electrical Electronics,Retail,245 TANK FARM RD STE I,5/22/2013,8/5/2016,"Audio Video Technical Services, Retail Sales",General Retailer,4670,1,Retail,-120.6665873,35.24674587
"M4L Walnut Land And Property, LLC",Rental- Commercial,1106 WALNUT ST STE 110,3/23/2016,7/26/2023,Commercial Rental Property,Commercial Rental Property,3634,1,Rental,-120.6627328,35.28603308
Ma Kenna House Cleaning,Personal Services,1578 MADONNA RD 82,1/16/2018,6/30/2018,House Cleaning,General Service,2970,1,Service,-120.6932886,35.25555574
"Mac 2 Build, Inc.",Contractor- General,820 VIA LAGUNA VIS,12/1/2009,2/22/2011,"Class A General Engineering Contractor; Grading, Utilities, Etc.",Contractor,5938,1,Service,-120.7073515,35.26496293
Mac Superstore,"Computers, Sales & Service",11982 LOS OSOS VALLEY RD,6/15/1996,12/8/2016,"Computers, Sales And Service",General Retailer,10855,1,Retail,-120.6863769,35.25139843
Mack Printworks,Home Occupation,848 VENABLE ST,8/20/2025,11/18/2025,,General Service,197,1,Service,-120.668034,35.28802332
Mackenzie Properties,Homestay,651 AL HIL DR,9/25/2023,10/10/2023,Homestay,General Service,892,1,Service,-120.6845396,35.30078356
Mackie Industries,Home Occupation,688 BROAD ST,1/20/2022,2/7/2024,"Car rental, Uber Driver",General Service,1505,1,Service,-120.6667248,35.28250554
Maclynn R Brinton,Rental- Residential,660 SOUTH ST,4/19/2001,2/17/2017,rental,Residential Rental,9086,1,Rental,-120.6580616,35.26956746
MacTeacher/ P C Teacher,Education/School,1687 QUAIL DR,4/14/1987,12/31/2019,Computer Training,General Service,14205,1,Service,-120.6963507,35.25655944
