,DBA,Business type,Bus address,"Bus City, State",Start date,Close date,Account #,Owner Name 1,License description,Rate type (STD),type,long,lat,closure_time,censor,zone,parcel
7927,Ken & Mandy Weathers,Rental- Commercial,3563 SUELDO ST O-Q,"SAN LUIS OBISPO, CA 93401-7332",2001-04-10,,71264,"Weathers, Ken & Mandy",,Commercial Rental Property,Rental,-120.66557638261,35.25145253103,9096,0,C-S,053-253-036
7928,Ken & Namra Pourroy,Rental- Residential,365 N CHORRO ST APT B,"SAN LUIS OBISPO, CA 93405-1323",2010-09-14,,108750,"Pourroy, Ken",Residential Rental Property,Residential Rental,Rental,-120.672752082216,35.296314196416,5652,0,"117    R-4
117    R-4
Name: zone, dtype: object",052-042-019
7929,Ken Brown,Rental- Residential,881 PEACH ST,"SAN LUIS OBISPO, CA 93401-2761",2010-10-14,2012-03-31,109395,Ken Brown,,Residential Rental,Rental,-120.664653829943,35.283533554381,5622,1,R-4,002-307-022
7930,Ken Carlson,Rental- Residential,BEACH ST,"SAN LUIS OBISPO, CA 93401-4317",2001-02-21,,70873,"Carlson, Ken",,Residential Rental,Rental,-120.662767499484,35.2725305001621,9144,0,R-2,003-625-015
7931,Ken Carpenter,Rental- Residential,2321 BROAD + 2321 BROAD 1/2,"SAN LUIS OBISPO, CA 93401",2000-12-19,2006-07-27,70136,Ken Carpenter,,Residential Rental,Rental,-120.6553897,35.2676077,9208,1,R-2,004-842-027
7932,Ken Finney,Rental- Residential,911 FELICIA WAY,"SAN LUIS OBISPO, CA 93401-7627",2022-04-19,,118651,"Finney, Ken",Rental Property,Residential Rental,Rental,-120.639097441024,35.250152776119,1417,0,R-2,053-085-055
7933,Ken Glynn,Recreational Services,238 HIGHLAND DR,"SAN LUIS OBISPO, CA 93405-1002",2004-07-28,,15424,"Glynn, Kenneth J",Gardening,General Service,Service,-120.6823679,35.2984611,7891,0,R-1,052-443-011
7934,Ken Jordan Used Cars,Motor Vehicle Sales,2800 BROAD ST,"SAN LUIS OBISPO, CA 93401-5711",1989-10-01,2006-11-08,1794,"Jordan, K R",,General Retailer,Retail,-120.652018629246,35.264118906359,13305,1,C-R,053-195-004
7935,Ken Kienow Wedding Photography,Home Occupation,883 VISTA DEL COLLADOS,"SAN LUIS OBISPO, CA 93405-4813",2009-01-26,2019-12-31,106735,"Kienow, Ken","Wedding And Portrait Photography, Print And Album Sales",General Service,Service,-120.699580416985,35.267157868314,6248,1,R-1,004-293-042
7936,Ken Krall,Rental- Residential,3 LOCATIONS-PROPERTY RENTALS,"SAN LUIS OBISPO, CA 93401",1992-05-01,,5322,Ken Krall,Residential Rental Property,Residential Rental,Rental,,,12362,0,,
7937,Ken Lehman,Rental- Residential,543 BLUEROCK DR,"SAN LUIS OBISPO, CA 93401-5627",2010-09-10,2016-12-09,108509,"Lehman, Ken",,Residential Rental,Rental,-120.654916901972,35.262189779248,5656,1,R-1,004-944-028
7938,Ken Ming Sou,Rental- Residential,1731 TANGLEWOOD DR,"SAN LUIS OBISPO, CA 93401-6041",2009-10-14,2006-07-07,107348,"Sou, Ken M",,Residential Rental,Rental,-120.630169721902,35.263319142032,5987,1,R-1,004-361-007
7939,Ken Or Mary Simpkins,Rental- Residential,1312 PURPLE SAGE LN,"SAN LUIS OBISPO, CA 93401-7821",2010-09-15,2015-08-15,108884,Ken Or Mary Simpkins,Residential Rental Property,Residential Rental,Rental,-120.630619566107,35.246806762824,5651,1,R-1,053-303-001
7940,Ken San Filippo,Rental- Residential,1330 SOUTHWOOD DR #12,"SAN LUIS OBISPO, CA 93401-5963",2010-09-15,2018-07-01,108851,"San Filippo, Ken &Teresa",Rental Rersidence,Residential Rental,Rental,-120.637992491598,35.264968456089,5651,1,R-2,004-961-074
7941,Ken's Body Shop,Auto Mechanic/Detailer/Services,4130 HORIZON LN UNIT D,"SAN LUIS OBISPO, CA 93401-7519",2019-09-09,2023-12-31,116084,"Brown, Wade S",Auto Body Repair & Paint Sale Of New & Used Auto Parts,General Service,Service,-120.666097320748,35.242447914357,2370,1,"1172    M
1172    M
Name: zone, dtype: object",053-258-019
7942,Kendra Santos,Rental- Residential,156 E FOOTHILL BLVD,"SAN LUIS OBISPO, CA 93405-1538",2019-07-16,,115911,"Santos, Kendra",Rental Property,Residential Rental,Rental,-120.684603506916,35.29420045616,2425,0,R-1,052-536-006
7943,Kendra Williams,Beauty Salon,790 MARSH ST STE A,"SAN LUIS OBISPO, CA 93401-3968",2010-02-09,2011-03-01,107574,"Williams, Kendra",Hair Stylist,Downtown Association,Downtown Association,-120.662355580923,35.27904220664,5869,1,C-D,002-426-014
7944,"Kendra Williams, L M F T",Counseling,867 PACIFIC ST STE 230,"SAN LUIS OBISPO, CA 93401-3636",2013-03-18,,111378,"Williams, Kendra","Individual, Family & Adolescent Services",Downtown Association,Downtown Association,-120.660699676665,35.278796100972,4736,0,O,003-528-009
7945,Kennedy Club Fitness,Health Spa/Fitness,188 TANK FARM RD,"SAN LUIS OBISPO, CA 93401-7528",2011-05-26,,110144,"Kennedy, Kevin",Health And Fitness,General Service,Service,-120.668508276833,35.246860459744,5398,0,C-S,053-251-067
7946,Kennedy Club Fitness Slo,,1050 OSOS ST,"SAN LUIS OBISPO, CA 93401-3215",1982-07-01,2007-09-04,48128,"N/a,",,Downtown Association,Downtown Association,-120.661029174462,35.281535486024,15954,1,C-D,002-434-001
7947,Kennedy Quick Delivery,Delivery Services,385 DAVID CT,"SAN LUIS OBISPO, CA 93405-8049",2015-07-23,,112933,"Kennedy, Christopher",Motor Courier Delivery Service,General Service,Service,-120.697940547203,35.204996100385,3879,0,C/OS,076-114-022
7948,Kenneth & Carolynne Palmer,Rental- Residential,463 HIGH ST,"SAN LUIS OBISPO, CA 93401-5168",2010-08-10,2016-06-30,107964,"Kenneth & Carolynne Palmer,",1 3 Bedroom House & 1 1 Bedroom House On Same Lot,Residential Rental,Rental,-120.662015755177,35.272125865494,5687,1,R-2,003-737-002
7949,Kenneth & Diane Muscat,Rental- Residential,2250 KING CT 71,"SAN LUIS OBISPO, CA 93401-5506",2001-01-29,,70636,"Muscat, Kenneth",,Residential Rental,Rental,-120.662098138522,35.268095759459,9167,0,R-4,004-824-091
7950,Kenneth & Esther Wong,Rental- Residential,5 RESIDENTIAL RENTAL PROP,"SAN LUIS OBISPO, CA 93401",1992-03-16,,4263,"Wong, Kenneth & Esther",,Residential Rental,Rental,-120.65634155273438,35.26453399658203,12408,0,R-1,004-932-015
7951,Kenneth & Kathleen Jensen,Rental- Residential,1631 TANGLEWOOD DR,"SAN LUIS OBISPO, CA 93401-6039",2013-03-21,2021-09-23,111385,"Jensen, Kathleen",Residential Rental Property,Residential Rental,Rental,-120.633533165525,35.262989589032,4733,1,R-1,004-556-008
7952,Kenneth A & Allison J Anderson,Rental- Residential,2076 MCCOLLUM ST,"SAN LUIS OBISPO, CA 93405-2106",2001-04-18,,71393,"Andersen, Kenneth A & Allison J",Rental-Residential,Residential Rental,Rental,-120.649470020137,35.294229162186,9088,0,R-1,052-125-016
7953,Kenneth A Edwards,Beauty Salon,894 MONTEREY ST,"SAN LUIS OBISPO, CA 93401-3225",2003-04-21,2009-09-02,14016,"Edwards, Kenneth",,Downtown Association,Downtown Association,-120.662422645036,35.281204555053,8355,1,C-D,002-416-033
7954,Kenneth E Schwartz,Rental- Residential,1750 PREFUMO CANYON RD UNIT 47,"SAN LUIS OBISPO, CA 93405-6110",2001-02-22,2020-03-05,70930,"Schwartz, Kenneth E",,Residential Rental,Rental,-120.701217913149,35.261296305413,9143,1,R-2,053-243-093
7955,Kenneth E Smee,Rental- Residential,2 LOCATION PROPERTY RENTALS,"SAN LUIS OBISPO, CA 93401",1992-03-16,2018-10-31,4217,"Smee, Kenneth E",,Residential Rental,Rental,,,12408,1,,
7956,Kenneth Friedmann,Rental- Residential,767 AZALEA CT,"SAN LUIS OBISPO, CA 93401-7608",1992-03-25,2007-06-27,4674,"N/a,",,Residential Rental,Rental,-120.640522663078,35.2487330465,12399,1,R-2,053-083-021
7957,Kenneth G Porche,Rental- Residential,2005-2013 BINNS CT,"SAN LUIS OBISPO, CA 93401-4509",1992-11-23,2023-09-29,6020,"Porche, Kenneth G",Residential Rental,Residential Rental,Rental,-120.650774556891,35.275739416917,12156,1,R-2,003-664-024
7958,Kenneth Hampion,Consultant,83 LA ENTRADA AVE,"SAN LUIS OBISPO, CA 93405-1554",2019-12-05,2020-06-30,116321,"Hampion, Kenneth",Training & Consulting,Professional Service,Service,-120.682809721319,35.291147297863,2283,1,R-1,052-363-036
7959,Kenneth Kamplain,Beauty Salon,722 MARSH ST,"SAN LUIS OBISPO, CA 93401-3902",2003-11-25,2006-12-26,14465,"Kamplain, Kenneth",,Downtown Association,Downtown Association,-120.663387540428,35.27842303087,8137,1,C-D,002-428-007
7960,"Kenneth L Baldwin MD, Inc",Medical Services,1304 ELLA ST STE B1,"SAN LUIS OBISPO, CA 93401-4100",2005-06-08,2017-08-01,17070,"Baldwin, MD, Kenneth L",Physician,Professional Service,Service,-120.650026975363,35.276804548056,7576,1,O,003-578-047
7961,Kenneth L Glick,Rental- Commercial,350 ELKS LN,"SAN LUIS OBISPO, CA 93401-5413",1997-02-06,2008-07-16,9533,"Glick, Kenneth",,Commercial Rental Property,Rental,-120.670790812228,35.263346597959,10620,1,C-S,053-011-030
7962,"Kenneth M Loya, PhD",Counseling,555 CHORRO ST STE B,"SAN LUIS OBISPO, CA 93405-2398",2016-08-03,,113780,"Loya, Ken M",Clinical and Forensic Psychologist,Professional Service,Service,-120.667019234325,35.284503100371,3502,0,O,002-292-025
7963,Kenneth M. De Luna,Home Occupation,210 SOUTH ST,"SAN LUIS OBISPO, CA 93401-5007",2023-01-02,2024-05-20,119369,"De luna, Kenneth M",Building Contractor/Consultant,Contractor,Service,-120.667581572409,35.269565957236,1159,1,R-2,003-724-019
7964,Kenneth Marvin Humphreys,Rental- Residential,970 SANTA ROSA ST,"SAN LUIS OBISPO, CA 93401-3132",1992-04-01,2015-06-30,4973,"Humphreys, Kenneth",,Downtown Association,Downtown Association,-120.660289128631,35.283144104102,12392,1,O,002-326-004
7965,"Kenneth P Cirisan, Attorney",Legal Services,991 OSOS ST STE A,"SAN LUIS OBISPO, CA 93401-3233",1983-07-01,,18626,"Cirisan, Kenneth P",Law Office,Downtown Association,Downtown Association,-120.661477880706,35.281855249417,15589,0,C-D,002-322-027
7966,"Kenneth P Tway Md Facc, Inc",Medical Services,1106 PACIFIC ST,"SAN LUIS OBISPO, CA 93401-3302",1988-01-24,,508,"Tway, Kenneth P",Physician's Office,Downtown Association,Downtown Association,-120.657989617215,35.280576583259,13921,0,O,002-445-011
7967,Kenneth Slaught,Rental- Residential,1551 ETO CIR,"SAN LUIS OBISPO, CA 93405-7429",2010-09-13,2012-05-08,108647,"Wilkinson, Jennifer",,Residential Rental,Rental,-120.696834087052,35.255290647263,5653,1,R-1,053-511-014
7968,Kenneth Standhardt Studio,Artist/Art Dealer/Sales/Gallery,1463 OCEANAIRE DR,"SAN LUIS OBISPO, CA 93405-6533",2017-10-19,2019-06-30,114615,"Standhardt, Kenny",Design And Creation Of Art/Commission Artwork,General Service,Service,-120.686026388804,35.261865777,3060,1,R-1,004-441-026
7969,Kenneth W Kutil Revocable Trust,Rental- Residential,4008 POINSETTIA ST,"SAN LUIS OBISPO, CA 93401-7628",2010-09-14,2012-06-11,108808,"Kutil, Kenneth",,Residential Rental,Rental,-120.640313343238,35.249201017507,5652,1,R-2,053-086-029
7970,Kensington Accounting Services,"Accounting,Auditing/CPA/Tax Service",598 CUESTA DR,"SAN LUIS OBISPO, CA 93405-1107",2000-12-08,2006-11-06,12392,"Fenwick, Iain & Laurie",,General Service,Service,-120.677950061095,35.299644115431,9219,1,R-1,052-493-008
7971,Kent Drever,Medical Services,1985 JOHNSON AVE,"SAN LUIS OBISPO, CA 93401-4131",2022-10-03,,119179,"Drever, Kent W",Network Spinal Chiropractor,General Service,Service,-120.64921360593,35.277472887733,1250,0,O,003-578-016
7972,"Kent Macdonald, Architect",Home Occupation,3981 HOLLYHOCK WAY,"SAN LUIS OBISPO, CA 93401-7601",2012-07-20,2023-03-23,110980,"Macdonald, Kent",Architectural Design Services,Professional Service,Service,-120.63757782675,35.250831336829,4977,1,R-2,053-085-055
7973,Kenton L Knight,Rental- Residential,571 CUESTA DR,"SAN LUIS OBISPO, CA 93405-1152",1992-03-13,,4163,"Knight, Kenton L",,Residential Rental,Rental,-120.677775737526,35.29963051917,12411,0,R-1,052-492-008
7974,Kentucky 522-524 LLC,Rental- Residential,2 RENTAL LOCATIONS,"SAN LUIS OBISPO, CA 93401-2661",2022-03-28,,118369,"522-524 LLC, Kentucky",House for Rent,Residential Rental,Rental,,,1439,0,,
7975,Kentucky SLO LLC,Rental- Residential,220 KENTUCKY ST,"SAN LUIS OBISPO, CA 93405-1907",2022-04-12,,118580,"Lindberg, Sutter",Rental Property for Cal Poly Students,Residential Rental,Rental,-120.659119998869,35.295014969216,1424,0,R-1,052-093-007
7976,Kepler Design Group LLC,Misc Business Services,3974 SHORT ST STE 110,"SAN LUIS OBISPO, CA 93401-7569",2002-12-31,,13498,"Kepler, Jan",,General Service,Service,-120.672526313401,35.244494266449,8466,0,C-S,053-257-011
7977,Kern & Hyde,Designer/Illustrator/Decorator,872 HIGUERA ST,"SAN LUIS OBISPO, CA 93401-3610",2017-09-18,2020-02-05,114562,"Johnson, Evan",Graphic Design Services,Downtown Association,Downtown Association,-120.662057464433,35.280415658006,3091,1,C-D,002-425-009
7978,Kerri Davis,Rental- Residential,7 LOCATIONS-PROPERTY RENTALS,"SAN LUIS OBISPO, CA 93401",1992-03-17,,4338,"Davis, Kerri",Residential Rental Property,Residential Rental,Rental,,,12407,0,,
7979,Kerry & Lorie Bartron,Rental- Residential,1279 BOND ST,"SAN LUIS OBISPO, CA 93405-1940",2010-09-28,,109158,"Bartron, Kerry & Lorie",Rental Property,Residential Rental,Rental,-120.659601822283,35.29404086322,5638,0,R-2,052-201-026
7980,Kerry Handeland,Beauty Salon,560 HIGUERA ST STE D,"SAN LUIS OBISPO, CA 93401-3850",1998-04-08,2014-08-05,10631,Kerry Handeland,,Downtown Association,Downtown Association,-120.666578048053,35.277694319824,10194,1,C-D,002-402-045
7981,Keshtgar Corporation - S L O,Restaurant,3971 S HIGUERA ST STE 120,"SAN LUIS OBISPO, CA 93401-1581",2010-03-17,2020-03-31,107637,"Keshtgar, Saud",Pizza Restaurant,General Service,Service,-120.674081646636,35.245942410346,5833,1,C-C,053-257-028
7982,Keshtgar Corporation - San Luis Obispo,Restaurant,1055 OLIVE ST,"SAN LUIS OBISPO, CA 93405-2361",1994-03-04,2011-06-09,6913,"Keshtgar, Saeed",Fast Food Pizza Restaurant,General Retailer,Retail,-120.664936112057,35.287020264136,11690,1,C-T,001-204-023
7983,Kessler Design,Designer/Illustrator/Decorator,4130 HORIZON LN STE C,"SAN LUIS OBISPO, CA 93401-7519",1995-11-29,2008-06-16,8555,"Kessler, Mike",Silkscreen,General Service,Service,-120.666097320748,35.242447914357,11055,1,"1172    M
1172    M
Name: zone, dtype: object",053-258-019
7984,Kessler General Repair,Personal Services,1805 LIMA DR,"SAN LUIS OBISPO, CA 93405-6818",2006-02-02,,17522,"Kessler, Jeffrey M",handyman,General Service,Service,-120.685553872018,35.255956389714,7337,0,R-1,004-412-015
7985,Ketch-All Company,Manufacturing,4149 SANTA FE RD #2,"SAN LUIS OBISPO, CA 93401-8100",2022-07-07,,118948,"Gerdon, Andrew",Mfg & Distributor of Animal Control  Related Products,General Manufacturer,Other,-120.649057706586,35.243283678735,1338,0,"806    M
806    M
Name: zone, dtype: object",053-423-018
7986,Kevin & Donna Lewis/Jon & Tamara Krause,Rental- Residential,225 ALBERT DR,"SAN LUIS OBISPO, CA 93405-1924",2016-09-22,,113906,"Lewis, Kevin",Rental Property,Residential Rental,Rental,-120.657411222638,35.295221835571,3452,0,R-1,052-322-003
7987,Kevin And Karen Dumont,Rental- Residential,477 RAMONA DR,"SAN LUIS OBISPO, CA 93405-1607",2013-11-07,2019-07-24,111781,"Dumont, Kevin And Karen",Rental,Residential Rental,Rental,-120.677049751079,35.292825864425,4502,1,R-1,052-156-019
7988,Kevin Chambers,Rental- Residential,273 N TASSAJARA DR,"SAN LUIS OBISPO, CA 93405-1203",2010-11-10,2016-06-30,109704,"Chambers, Kevin",Residential Rental Property,Residential Rental,Rental,-120.677983110126,35.295864695078,5595,1,R-1,052-302-003
7989,Kevin Erickson,Rental- Residential,2 LOCATIONS,"SAN LUIS OBISPO, CA 93401-2318",2010-09-10,,108545,"Erickson, Kevin",Rental-Residential,Residential Rental,Rental,,,5656,0,,
7990,"Kevin Fitzpatrick, DDS, Inc.",Dental,862 MEINECKE AVE #200,"SAN LUIS OBISPO, CA 93405-1721",2020-07-20,2021-06-30,116714,"Fitzpatrick, DDS, Kevin",Dental Services,Professional Service,Service,-120.668303304293,35.292447691649,2055,1,O,052-174-044
7991,Kevin Helmer,Consultant,2945 MCMILLAN AVE STE 128,"SAN LUIS OBISPO, CA 93401-6766",2014-07-30,2017-05-15,112188,"Helmer, Kevin",Computer And Phone Consulting,Professional Service,Service,-120.648175987098,35.262973050334,4237,1,M,053-201-019
7992,Kevin Hicks,Rental- Residential,2524 AUGUSTA ST,"SAN LUIS OBISPO, CA 93401-5304",2010-09-30,2021-06-15,109188,"Hicks, Kevin",Residential Property Rental,Residential Rental,Rental,-120.645409163881,35.270253754156,5636,1,R-1,004-784-002
7993,Kevin Main Jewelry Design Studio,Retail,720 HIGUERA ST,"SAN LUIS OBISPO, CA 93401-3513",1998-08-28,2018-12-28,10986,"Main, Kevin",Fine Jewelry Retail And Repair,Downtown Association,Downtown Association,-120.664193527516,35.279143638723,10052,1,C-D,002-423-014
7994,Kevin McLean,Rental- Residential,471 HENDERSON AVE,"SAN LUIS OBISPO, CA 93405-2031",2004-03-16,2012-12-18,15149,"McLean, Kevin M",Residential Rental Property,Residential Rental,Rental,-120.650696291131,35.292624250212,8025,1,R-1,052-234-013
7995,Kevin Mcreynolds,Legal Services,1119 PALM ST,"SAN LUIS OBISPO, CA 93401-3113",1985-10-02,,57878,Kevin Mcreynolds,,Professional Service,Service,-120.660367944633,35.283627348324,14765,0,O,002-326-020
7996,Kevin Morris,Rental- Residential,915 FELICIA WAY,"SAN LUIS OBISPO, CA 93401-7627",2010-12-21,,109815,"Morris, Kevin",Residential Rental Property,Residential Rental,Rental,-120.639035356682,35.250158984549,5554,0,R-2,053-085-055
7997,Kevin P Doerr,Rental- Residential,785 MORRO ST APT E,"SAN LUIS OBISPO, CA 93401-2787",1993-07-01,2012-10-08,256,"Doerr, Kevin P",,Residential Rental,Rental,-120.663921496013,35.283043322963,11936,1,R-4,002-303-013
7998,"Kevin Parzych, A Medical Corp.",Home Occupation,4311 LARKSPUR ST,"SAN LUIS OBISPO, CA 93401-7839",2015-09-03,2024-12-31,113035,"Parzych, M.D., Kevin",Physician services,Professional Service,Service,-120.637089810619,35.245143027563,3837,1,R-1,053-413-013
7999,Kevin Petit,Homestay,1616 PALM ST,"SAN LUIS OBISPO, CA 93401-2942",2022-06-02,,118828,"Petit, Kevin",Homestay Short Term Rental,General Service,Service,-120.653631571947,35.287750378389,1373,0,R-2,001-141-024
8000,Kevin Zepeda,Rental- Residential,1941 ABBOTT ST,"SAN LUIS OBISPO, CA 93401-2629",2010-11-18,2015-09-25,109743,"Zepeda, Kevin",Residential Rental Property,Residential Rental,Rental,-120.651359444744,35.291364098002,5587,1,R-4,001-073-002
8001,Key Pair Consulting Inc.,Professional,987 OSOS ST,"SAN LUIS OBISPO, CA 93401-3212",2017-08-17,,114493,"Minnoch, Mark",Consulting Services To Technology Companies,Downtown Association,Downtown Association,-120.661506671137,35.28188782374,3123,0,C-D,002-322-027
8002,KFJ Properties,Homestay,781 PEACH ST,"SAN LUIS OBISPO, CA 93401-2214",2014-04-10,,111989,"Friedmann, Kurt",Homestay,General Service,Service,-120.665821942987,35.282843128541,4348,0,R-2,002-302-017
8003,KGM Construction,Contractor- General,1508 MILL ST,"SAN LUIS OBISPO, CA 93401-2518",2010-06-01,,107776,"Morain, Michael D",General Contractor,Contractor,Service,-120.655786396816,35.28769748323,5757,0,O,001-132-015
8004,KHA Architect,Architect,285 BRIDGE ST,"SAN LUIS OBISPO, CA 93401-5510",1996-04-02,2009-01-16,8848,"Hall, Keith",,Professional Service,Service,-120.665956749382,35.267646001849,10930,1,M,004-812-041
8005,Khatchik & Araxie Achadjian,Rental- Residential,2 RENTAL LOCATIONS,"SAN LUIS OBISPO, CA 93405",2010-09-13,,108653,"Achadjian, Katcho & Araxie",,Residential Rental,Rental,,,5653,0,,
8006,Kick-It Points Inc.,Business/ Services/ Professions,872 HIGUERA ST,"SAN LUIS OBISPO, CA 93401-3610",2018-01-24,2021-12-13,114780,"Foreman, Brett",Kick-It Points Is A Mobile App That Pairs Local Business Deals With Nearby Activities And Locations,Downtown Association,Downtown Association,-120.662057464433,35.280415658006,2963,1,C-D,002-425-009
8007,Kicker Films,Home Occupation,1716 SOUTHWOOD DR,"SAN LUIS OBISPO, CA 93401-6032",2008-10-21,2013-10-16,106604,"Troy, Michael",Online Action Sports DVD Sales,General Retailer,Retail,-120.631021024826,35.264978363261,6345,1,R-1,004-302-001
8008,Kickstart Solution Group,Home Occupation,540 MASON WAY,"SAN LUIS OBISPO, CA 93401-5676",2014-01-17,2017-06-30,111878,"Rizzi, Jim",Business & Life Coaching,Professional Service,Service,-120.655986030404,35.262801515119,4431,1,R-1,004-945-051
8009,Kidney Dialysis Ctr Of Slo Llc,Medical Services,1043 MARSH ST,"SAN LUIS OBISPO, CA 93401-3629",2005-08-05,2011-01-01,17176,"Thakker, Ushakant",,Downtown Association,Downtown Association,-120.659613528858,35.280560637486,7518,1,C-D,002-443-018
8010,"Kids 4 Kures, Inc.",Retail,855 CAPITOLIO WAY,"SAN LUIS OBISPO, CA 93401-7175",2009-03-18,,106866,"Flachman, Jennifer",Chairty Fundraiser For Non-Profit Cancer Charities,General Retailer,Retail,-120.643516144492,35.257659216156,6197,0,M,053-062-014
8011,Kids Connection Developmental Therapy Center,Medical Services,36 ZACA LN GYM 2,"SAN LUIS OBISPO, CA 93401-7344",2017-11-20,,114669,"Conway, Cynthia",Pediatric Developmental Therapy,Professional Service,Service,-120.672885793204,35.251135955418,3028,0,C-S,053-051-052
8012,Kids Cut Hut,Beauty Salon,3592 BROAD ST STE 102,"SAN LUIS OBISPO, CA 93401-7231",2007-08-02,2010-06-01,105804,"Northcote, Morgan",Childrens Hair Salon,General Service,Service,-120.646042047375,35.254524822611,6791,1,C-S,053-234-001
8013,Kidz Korner Preschool,Child Care/Day Care,3396 JOHNSON AVE,"SAN LUIS OBISPO, CA 93401-6099",1993-03-23,2025-06-30,6268,"Mele, Camille",Child Care Center,General Service,Service,-120.635702000547,35.265039791168,12036,1,R-1,004-993-003
8014,"Kidz Love Soccer, Inc",Recreational Services,1341 NIPOMO ST,"SAN LUIS OBISPO, CA 93401-3934",1999-05-20,2009-10-01,11449,"Trevisan, Chris",,General Service,Service,-120.664116883404,35.276286959914,9787,1,PF,003-515-001
8015,Kiel Eorio,Beauty Salon,575 MARSH ST,"SAN LUIS OBISPO, CA 93401-3929",2016-01-08,2021-09-08,113321,"Eorio, Kiel","Hair Stylist, Hair Color & Cuts, Services",Downtown Association,Downtown Association,-120.665324074243,35.277109966249,3710,1,C-D,003-517-010
8016,Kieran & Alexandra O'Connor,Rental- Residential,1052 DEL RIO AVE,"SAN LUIS OBISPO, CA 93405-6103",2010-03-03,2019-06-30,107612,"O'Connor, Kieran",Residential Rental Property,Residential Rental,Rental,-120.70131982588,35.262361185127,5847,1,R-1,053-242-046
8017,Kiki's Skincare,Personal Services,100 MADONNA RD,"SAN LUIS OBISPO, CA 93405-5489",2011-12-07,2012-09-12,110516,"Rebuck, Kimberly A","Esthetician, Skincare Services",General Service,Service,-120.673724276007,35.26588920761,5203,1,C-T,004-511-021
8018,Kikka At El Rancho Market San Luis Obispo,Food Store,771 E FOOTHILL BLVD,"SAN LUIS OBISPO, CA 93405-1617",2016-11-03,,114005,Ito Inc. Dba Kikka,Provide A Variety Of Asian Cuisine Inside El Rancho Market,General Service,Service,-120.672152336785,35.294040864002,3410,0,C-C,052-162-023
8019,Kiko Restaurant,Restaurant,746 HIGUERA ST C,"SAN LUIS OBISPO, CA 93401",2024-02-08,,120297,"Pomalaza, Jorge E",Peruvian Restaurant,Downtown Association,Downtown Association,-120.663833040507,35.279359930907,757,0,C-D,002-423-040
8020,Killian Communications Inc,Printing/Publishing,265 SOUTH ST E,"SAN LUIS OBISPO, CA 93401-5036",1988-10-01,2016-12-31,762,,,General Retailer,Retail,-120.666835010315,35.269448214216,13670,1,C-S,004-811-025
8021,Killian Construction & Painting,Home Occupation,470 BRANCH ST,"SAN LUIS OBISPO, CA 93401-5166",2005-07-08,2022-06-30,17124,"Killian, Scott A",Construction Services & Painting Services,Contractor,Service,-120.661767427864,35.270260457056,7546,1,R-2,003-738-009
8022,"Kim & Co Salon, Inc.",Beauty Salon,2103 BROAD ST,"SAN LUIS OBISPO, CA 93401-5204",1993-07-28,,6479,"Brown, Kim S",Hair Salon,General Service,Service,-120.657639025252,35.271083282672,11909,0,C-N,003-746-029
8023,Kim & Company Salon & Day Spa,Beauty Salon,2103 BROAD ST,"SAN LUIS OBISPO, CA 93401-5204",1987-09-01,,92,"Biaggini-Spradling, Connie",Independent Contractor,General Service,Service,-120.657639025252,35.271083282672,14066,0,C-N,003-746-029
8024,Kim Brown,Rental- Residential,651 BRIZZOLARA ST APT 3,"SAN LUIS OBISPO, CA 93401-2200",2001-04-19,,71532,"Brown, Kim",,Residential Rental,Rental,-120.668472323253,35.281110013186,9087,0,R-3,002-304-032
8025,Kim Colonna,Rental- Residential,365 PATRICIA DR,"SAN LUIS OBISPO, CA 93405-1255",2010-09-10,2018-06-21,108541,"Colonna, Kim",,Residential Rental,Rental,-120.683405608201,35.297024354037,5656,1,R-1,052-381-003
8026,Kim Cook Trust,Rental- Residential,1422 GARDEN ST,"SAN LUIS OBISPO, CA 93401-3918",2022-02-18,,117989,"Cook, Kim",Rental Cottage,Residential Rental,Rental,-120.661243726264,35.277001550431,1477,0,O,003-535-001
8027,Kim Love Dba Bright Life Playschool,Education/School,880 LAUREATE LN,"SAN LUIS OBISPO, CA 93405-7875",2014-09-10,2019-02-21,112284,Kim Love Dba Bright Life Playschool,Preschool/Child Care Center,Professional Service,Service,-120.710230429846,35.285889137986,4195,1,C/OS,067-091-018
8028,Kim Mattas,Beauty Salon,2103 BROAD ST,"SAN LUIS OBISPO, CA 93401-5204",2003-06-09,2015-01-01,14151,"Mattas, Kim",,General Service,Service,-120.657639025252,35.271083282672,8306,1,C-N,003-746-029
8029,Kim Morril Interior Design,Misc Business Services,645 TANK FARM RD C,"SAN LUIS OBISPO, CA 93401-7052",2003-03-24,,13662,"Morrill, Kim E",,General Service,Service,-120.645944038606,35.247172220344,8383,0,C-S,053-422-004
8030,"Kim Richards, LMFT",Counseling,1333 JOHNSON AVE,"SAN LUIS OBISPO, CA 93401-3313",2020-01-31,2020-10-14,116428,"Richards, Kim",Psyshotherapy for Individuals & Families,Professional Service,Service,-120.655036766827,35.282029508152,2226,1,C-C,002-341-020
8031,Kim Van,Homestay,459 MESA WAY,"SAN LUIS OBISPO, CA 93401",2022-06-16,2023-09-22,118888,"Mattison, Tom",Airbnb Homestay,General Service,Service,-120.6591203,35.2543144,1359,1,O,053-434-080
